Category	LETTER	Group1	Mean1	Group2	Mean2	P-value	Significant
INFORMATION STORAGE AND PROCESSING	J	Group B	255.0	Group C	256.0	1.0	False
INFORMATION STORAGE AND PROCESSING	J	Group B	255.0	Group D	247.5	0.73583506867579	False
INFORMATION STORAGE AND PROCESSING	J	Group C	256.0	Group D	247.5	0.3114798897069987	False
INFORMATION STORAGE AND PROCESSING	A	Group B	2.0	Group C	2.0	1.0	False
INFORMATION STORAGE AND PROCESSING	A	Group B	2.0	Group D	2.1666666666666665	0.7728299926844475	False
INFORMATION STORAGE AND PROCESSING	A	Group C	2.0	Group D	2.1666666666666665	0.7728299926844475	False
INFORMATION STORAGE AND PROCESSING	K	Group B	290.0	Group C	298.5	0.6666666666666666	False
INFORMATION STORAGE AND PROCESSING	K	Group B	290.0	Group D	280.5	0.2405257337730693	False
INFORMATION STORAGE AND PROCESSING	K	Group C	298.5	Group D	280.5	0.2405257337730693	False
INFORMATION STORAGE AND PROCESSING	L	Group B	166.5	Group C	183.5	0.6666666666666666	False
INFORMATION STORAGE AND PROCESSING	L	Group B	166.5	Group D	170.66666666666666	0.8668447264305114	False
INFORMATION STORAGE AND PROCESSING	L	Group C	183.5	Group D	170.66666666666666	0.40184068446548316	False
INFORMATION STORAGE AND PROCESSING	B	Group B	0.0	Group C	0.0	1.0	False
INFORMATION STORAGE AND PROCESSING	B	Group B	0.0	Group D	0.0	1.0	False
INFORMATION STORAGE AND PROCESSING	B	Group C	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	D	Group B	54.0	Group C	52.5	0.6666666666666666	False
CELLULAR PROCESSES AND SIGNALING	D	Group B	54.0	Group D	52.833333333333336	0.6149621418492248	False
CELLULAR PROCESSES AND SIGNALING	D	Group C	52.5	Group D	52.833333333333336	0.8643947798456604	False
CELLULAR PROCESSES AND SIGNALING	Y	Group B	0.0	Group C	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	Y	Group B	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	Y	Group C	0.0	Group D	0.0	1.0	False
CELLULAR PROCESSES AND SIGNALING	V	Group B	105.0	Group C	97.5	0.6666666666666666	False
CELLULAR PROCESSES AND SIGNALING	V	Group B	105.0	Group D	97.16666666666667	0.40184068446548316	False
CELLULAR PROCESSES AND SIGNALING	V	Group C	97.5	Group D	97.16666666666667	1.0	False
CELLULAR PROCESSES AND SIGNALING	T	Group B	159.0	Group C	160.5	1.0	False
CELLULAR PROCESSES AND SIGNALING	T	Group B	159.0	Group D	156.16666666666666	1.0	False
CELLULAR PROCESSES AND SIGNALING	T	Group C	160.5	Group D	156.16666666666666	1.0	False
